iso,age,sex,educ,above_OECD_avg,below_OECD_avg
203,20,1,1,NA,NA
203,20,2,1,NA,NA
203,30,2,1,NA,NA
203,35,1,1,NA,NA
203,40,1,1,NA,NA
203,45,1,1,NA,NA
203,45,2,1,NA,NA
203,50,1,1,NA,NA
203,50,2,1,NA,NA
203,55,1,1,NA,NA
203,55,2,1,NA,NA
233,40,2,1,NA,NA
233,45,1,1,NA,NA
233,45,2,1,NA,NA
246,30,1,1,NA,NA
380,15,2,1,NA,NA
380,20,2,1,NA,NA
392,15,1,1,NA,NA
392,15,2,1,NA,NA
392,20,1,1,NA,NA
392,20,2,1,NA,NA
392,25,1,1,NA,NA
392,25,2,1,NA,NA
392,30,1,1,NA,NA
392,30,2,1,NA,NA
392,35,1,1,NA,NA
392,40,1,1,NA,NA
392,40,2,1,NA,NA
392,45,1,1,NA,NA
392,45,2,1,NA,NA
392,50,1,1,NA,NA
392,50,2,1,NA,NA
392,55,1,1,NA,NA
392,55,2,1,NA,NA
392,60,2,1,NA,NA
398,50,1,1,NA,NA
410,20,1,1,NA,NA
410,20,2,1,NA,NA
440,35,2,1,NA,NA
440,40,1,1,NA,NA
440,45,1,1,NA,NA
440,50,2,1,NA,NA
440,55,1,1,NA,NA
440,60,1,1,NA,NA
578,35,1,1,NA,NA
578,55,1,1,NA,NA
616,30,1,1,NA,NA
616,35,1,1,NA,NA
616,45,2,1,NA,NA
643,25,1,1,NA,NA
643,35,2,1,NA,NA
643,45,2,1,NA,NA
703,20,1,1,NA,NA
703,30,1,1,NA,NA
703,30,2,1,NA,NA
703,35,2,1,NA,NA
705,15,2,1,NA,NA
705,20,2,1,NA,NA
705,25,2,1,NA,NA
752,20,1,1,NA,NA
840,15,2,1,NA,NA
840,20,1,1,NA,NA
840,20,2,1,NA,NA
616,55,2,1,NA,NA
